id	landmark_id	tag_id	created_at	updated_at
322	23	115	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
323	29	96	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
324	80	112	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
325	30	14	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
326	39	110	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
327	79	121	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
328	53	121	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
329	42	89	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
330	36	119	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
331	43	89	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
332	90	122	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
333	91	83	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
334	91	58	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
335	90	35	2026-09-07 12:31:00 UTC	2026-09-07 12:31:00 UTC
336	92	123	2026-09-12 05:14:24 UTC	2026-09-12 05:14:24 UTC
